,Fight,OUTCOME
193,Phil Hawes  vs. Brunno Ferreira ,L/W
194,Andrei Arlovski  vs. Waldo Cortes-Acosta ,L/W
195,Matthew Semelsberger  vs. Preston Parsons ,L/W
196,Marcus McGhee  vs. Gaston Bolanos ,W/L
197,Farid Basharat  vs. Taylor Lapilus ,W/L
198,Westin Wilson  vs. Jean Silva ,L/W
199,Nikolas Motta  vs. Tom Nolan ,W/L
200,Joshua Van  vs. Felipe Bunes ,W/L
201,Leon Edwards  vs. Colby Covington ,W/L
202,Alexandre Pantoja  vs. Brandon Royval ,W/L
203,Shavkat Rakhmonov  vs. Stephen Thompson ,W/L
204,Tony Ferguson  vs. Paddy Pimblett ,L/W
205,Josh Emmett  vs. Bryce Mitchell ,W/L
206,Alonzo Menifield  vs. Dustin Jacoby ,W/L
207,Irene Aldana  vs. Karol Rosa ,W/L
208,Cody Garbrandt  vs. Brian Kelleher ,W/L
209,Casey O'Neill  vs. Ariane Lipski ,L/W
210,Tagir Ulanbekov  vs. Cody Durden ,W/L
211,Andre Fili  vs. Lucas Almeida ,W/L
212,Martin Buday  vs. Shamil Gaziev ,L/W
213,Song Yadong  vs. Chris Gutierrez ,W/L
214,Anthony Smith  vs. Khalil Rountree Jr. ,L/W
215,Nasrat Haqparast  vs. Jamie Mullarkey ,W/L
216,Tim Elliott  vs.  Sumudaerji ,W/L
217,JunYong Park  vs. Andre Muniz ,L/W
218,Song Kenan  vs. Kevin Jousset ,L/W
219,HyunSung Park  vs. Shannon Ross ,W/L
220,Steve Garcia  vs. Melquizael Costa ,W/L
221,Luana Santos  vs. Stephanie Egger ,W/L
222,Tatsuro Taira  vs. Carlos Hernandez ,W/L
223,Rayanne Amanda  vs. Talita Alencar ,L/W
224,Beneil Dariush  vs. Arman Tsarukyan ,L/W
225,Jalin Turner  vs. Bobby Green ,W/L
226,Rob Font  vs. Deiveson Figueiredo ,L/W
227,Sean Brady  vs. Kelvin Gastelum ,W/L
228,Clay Guida  vs. Joaquim Silva ,L/W
229,Punahele Soriano  vs. Dustin Stoltzfus ,L/W
230,Miesha Tate  vs. Julia Avila ,W/L
231,Zach Reese  vs. Cody Brundage ,L/W
232,Drakkar Klose  vs. Joe Solecki ,W/L
233,Rodolfo Bellato  vs. Ihor Potieria ,W/L
234,Wellington Turman  vs. Jared Gooden ,L/W
235,Veronica Hardy  vs. Jamey-Lyn Horth ,W/L
236,Brendan Allen  vs. Paul Craig ,W/L
237,Michael Morales  vs. Jake Matthews ,W/L
238,Chase Hooper  vs. Jordan Leavitt ,W/L
239,Payton Talbott  vs. Nick Aguirre ,W/L
240,Luana Pinheiro  vs. Amanda Ribas ,L/W
241,Uros Medic  vs. Myktybek Orolbai ,L/W
242,Jonathan Pearce  vs. Joanderson Brito ,L/W
243,Chad Anheliger  vs. Jose Johnson ,L/W
244,Christian Leroy Duncan  vs. Denis Tiuliulin ,W/L
245,Mick Parkin  vs. Caio Machado ,W/L
246,Jeka Saragih  vs. Lucas Alexander ,W/L
247,Lucie Pudilova  vs. Ailin Perez ,L/W
248,Trey Ogden  vs. Nikolas Motta ,NC/NC
249,Charles Johnson  vs. Rafael Estevam ,L/W
250,Jiri Prochazka  vs. Alex Pereira ,L/W
251,Sergei Pavlovich  vs. Tom Aspinall ,L/W
252,Jessica Andrade  vs. Mackenzie Dern ,W/L
253,Matt Frevola  vs. Benoit Saint Denis ,L/W
254,Diego Lopes  vs. Pat Sabatini ,W/L
255,Steve Erceg  vs. Alessandro Costa ,W/L
256,Tabatha Ricci  vs. Loopy Godinez ,L/W
257,Mateusz Rebecki  vs. Roosevelt Roberts ,W/L
258,Nazim Sadykhov  vs. Viacheslav Borshchev ,D/D
259,Jared Gordon  vs. Mark Madsen ,W/L
260,John Castaneda  vs. Kyung Ho Kang ,W/L
261,Joshua Van  vs. Kevin Borjas ,W/L
262,Dennis Buzukja  vs. Jamall Emmers ,L/W
263,Jailton Almeida  vs. Derrick Lewis ,W/L
264,Gabriel Bonfim  vs. Nicolas Dalby ,L/W
265,Rodrigo Nascimento  vs. Don'Tale Mayes ,W/L
266,Caio Borralho  vs. Abus Magomedov ,W/L
267,Elves Brener  vs. Kaynan Kruschewsky ,W/L
268,Rinat Fakhretdinov  vs. Elizeu Zaleski dos Santos ,D/D
269,Vitor Petrino  vs. Modestas Bukauskas ,W/L
270,Angela Hill  vs. Denise Gomes ,W/L
271,Eduarda Moura  vs. Montserrat Conejo Ruiz ,W/L
272,Kaue Fernandes  vs. Marc Diakiese ,L/W
273,Sodiq Yusuff  vs. Edson Barboza ,L/W
274,Jennifer Maia  vs. Viviane Araujo ,L/W
275,Jonathan Martinez  vs. Adrian Yanez ,W/L
276,Andre Petroski  vs. Michel Pereira ,L/W
277,Christian Rodriguez  vs. Cameron Saaiman ,W/L
278,Darren Elkins  vs. TJ Brown ,W/L
279,Tainara Lisboa  vs. Ravena Oliveira ,W/L
280,Terrance McKinney  vs. Brendon Marotte ,W/L
281,Irina Alekseeva  vs. Melissa Dixon ,L/W
282,Chris Gutierrez  vs.  Alatengheili ,W/L
283,Ashley Yoder  vs. Emily Ducote ,L/W
284,Grant Dawson  vs. Bobby Green ,L/W
285,Joe Pyfer  vs. Abdul Razak Alhassan ,W/L
286,Alex Morono  vs. Joaquin Buckley ,L/W
287,Drew Dober  vs. Ricky Glenn ,W/L
288,Alexander Hernandez  vs. Bill Algeo ,L/W
289,Karolina Kowalkiewicz  vs. Diana Belbita ,W/L
290,Nate Maness  vs. Mateus Mendonca ,W/L
291,Vanessa Demopoulos  vs. Kanako Murata ,W/L
292, Aoriqileng  vs. Johnny Munoz ,W/L
293,Montana De La Rosa  vs. JJ Aldrich ,L/W
294,Rafael Fiziev  vs. Mateusz Gamrot ,L/W
295,Bryce Mitchell  vs. Dan Ige ,W/L
296,Marina Rodriguez  vs. Michelle Waterson-Gomez ,W/L
297,Bryan Battle  vs. AJ Fletcher ,W/L
298,Ricardo Ramos  vs. Charles Jourdain ,L/W
299,Dan Argueta  vs. Miles Johns ,L/W
300,Tim Means  vs. Andre Fialho ,W/L
301,Jacob Malkoun  vs. Cody Brundage ,L/W
302,Mohammed Usman  vs. Jake Collier ,W/L
303,Mizuki vs. Hannah Goldy ,W/L
304,Tamires Vidal  vs. Montserrat Rendon ,L/W
305,Alexa Grasso  vs. Valentina Shevchenko ,D/D
306,Kevin Holland  vs. Jack Della Maddalena ,L/W
307,Raul Rosas Jr.  vs. Terrence Mitchell ,W/L
308,Daniel Zellhuber  vs. Christos Giagos ,W/L
309,Fernando Padilla  vs. Kyle Nelson ,L/W
310,Loopy Godinez  vs. Elise Reed ,W/L
311,Roman Kopylov  vs. Josh Fremd ,W/L
312,Edgar Chairez  vs. Daniel Lacerda ,NC/NC
313,Tracy Cortez  vs. Jasmine Jasudavicius ,W/L
314,Alex Reyes  vs. Charlie Campbell ,L/W
315,Josefine Knutsson  vs. Marnic Mann ,W/L
316,Israel Adesanya  vs. Sean Strickland ,L/W
317,Tai Tuivasa  vs. Alexander Volkov ,L/W
318,Manel Kape  vs. Felipe dos Santos ,W/L
319,Justin Tafa  vs. Austen Lane ,W/L
320,Tyson Pedro  vs. Anton Turkalj ,W/L
321,Carlos Ulberg  vs. Da Woon Jung ,W/L
322,Jack Jenkins  vs. Chepe Mariscal ,L/W
323,Jamie Mullarkey  vs. John Makdessi ,W/L
324,Nasrat Haqparast  vs. Landon Quinones ,W/L
325,Blood Diamond  vs. Charles Radtke ,L/W
326,Shane Young  vs. Gabriel Miranda ,L/W
327,Kevin Jousset  vs. Kiefer Crosbie ,W/L
328,Ciryl Gane  vs. Serghei Spivac ,W/L
329,Manon Fiorot  vs. Rose Namajunas ,W/L
330,Benoit Saint Denis  vs. Thiago Moises ,W/L
331,Volkan Oezdemir  vs. Bogdan Guskov ,W/L
332,William Gomis  vs. Yanis Ghemmouri ,W/L
333,Morgan Charriere  vs. Manolo Zecchini ,W/L
334,Taylor Lapilus  vs. Caolan Loughran ,W/L
335,Ange Loosa  vs. Rhys McKee ,W/L
336,Nora Cornolle  vs. Joselyne Edwards ,W/L
337,Farid Basharat  vs. Kleydson Rodrigues ,W/L
338,Zarah Fairn  vs. Jacqueline Cavalcanti ,L/W
339,Aljamain Sterling  vs. Sean O'Malley ,L/W
340,Zhang Weili  vs. Amanda Lemos ,W/L
341,Neil Magny  vs. Ian Garry ,L/W
342,Da'Mon Blackshear  vs. Mario Bautista ,L/W
343,Marlon Vera  vs. Pedro Munhoz ,W/L
344,Chris Weidman  vs. Brad Tavares ,L/W
345,Gregory Rodrigues  vs. Denis Tiuliulin ,W/L
346,Kurt Holobaugh  vs. Austin Hubbard ,W/L
347,Brad Katona  vs. Cody Gibson ,W/L
348,Andre Petroski  vs. Gerald Meerschaert ,W/L
349,Andrea Lee  vs. Natalia Silva ,L/W
350,Karine Silva  vs. Maryna Moroz ,W/L
351,Vicente Luque  vs. Rafael Dos Anjos ,W/L
352,Cub Swanson  vs. Hakeem Dawodu ,W/L
353,Khalil Rountree Jr.  vs. Chris Daukaus ,W/L
354,Polyana Viana  vs. Iasmin Lucindo ,L/W
355,AJ Dobson  vs. Tafon Nchukwi ,W/L
356,Josh Fremd  vs. Jamie Pickett ,W/L
357,JP Buys  vs. Marcus McGhee ,L/W
358,Terrance McKinney  vs. Mike Breeden ,W/L
359,Francis Marshall  vs. Isaac Dulgarian ,L/W
360,Josh Parisian  vs. Martin Buday ,L/W
361,Jaqueline Amorim  vs. Montserrat Conejo Ruiz ,W/L
362,Da'Mon Blackshear  vs. Jose Johnson ,W/L
363,Juliana Miller  vs. Luana Santos ,L/W
364,Cory Sandhagen  vs. Rob Font ,W/L
365,Jessica Andrade  vs. Tatiana Suarez ,L/W
366,Dustin Jacoby  vs. Kennedy Nzechukwu ,W/L
367,Diego Lopes  vs. Gavin Tucker ,W/L
368,Tanner Boser  vs. Aleksa Camur ,W/L
369,Ignacio Bahamondes  vs. Ludovit Klein ,L/W
370,Kyler Phillips  vs. Raoni Barcelos ,W/L
371,Jeremiah Wells  vs. Carlston Harris ,L/W
372,Billy Quarantillo  vs. Damon Jackson ,W/L
373,Cody Durden  vs. Jake Hadley ,W/L
374,Sean Woodson  vs. Dennis Buzukja ,W/L
375,Ode Osbourne  vs. Assu Almabayev ,L/W
376,Dustin Poirier  vs. Justin Gaethje ,L/W
377,Jan Blachowicz  vs. Alex Pereira ,L/W
378,Derrick Lewis  vs. Marcos Rogerio de Lima ,W/L
379,Tony Ferguson  vs. Bobby Green ,L/W
380,Michael Chiesa  vs. Kevin Holland ,L/W
381,Gabriel Bonfim  vs. Trevin Giles ,W/L
382,CJ Vergara  vs. Vinicius Salvador ,W/L
383,Roman Kopylov  vs. Claudio Ribeiro ,W/L
384,Jake Matthews  vs. Darrius Flowers ,W/L
385,Matthew Semelsberger  vs. Uros Medic ,L/W
386,Miranda Maverick  vs. Priscila Cachoeira ,W/L
387,Tom Aspinall  vs. Marcin Tybura ,W/L
388,Molly McCann  vs. Julija Stoliarenko ,L/W
389,Nathaniel Wood  vs. Andre Fili ,W/L
390,Paul Craig  vs. Andre Muniz ,W/L
391,Jai Herbert  vs. Fares Ziam ,L/W
392,Lerone Murphy  vs. Josh Culibao ,W/L
393,Davey Grant  vs. Daniel Marcos ,L/W
394,Danny Roberts  vs. Jonny Parsons ,L/W
395,Marc Diakiese  vs. Joel Alvarez ,L/W
396,Mick Parkin  vs. Jamal Pogues ,W/L
397,Makhmud Muradov  vs. Bryan Barberena ,W/L
398,Ketlen Vieira  vs. Pannie Kianzad ,W/L
399,Chris Duncan  vs. Yanal Ashmouz ,W/L
400,Shauna Bannon  vs. Bruna Brasil ,L/W
401,Jafel Filho  vs. Daniel Barez ,W/L
402,Holly Holm  vs. Mayra Bueno Silva ,L/W
403,Jack Della Maddalena  vs. Bassil Hafez ,W/L
404,Ottman Azaitar  vs. Francisco Prado ,L/W
405,Albert Duraev  vs. JunYong Park ,L/W
406,Norma Dumont  vs. Chelsea Chandler ,W/L
407,Nazim Sadykhov  vs. Terrance McKinney ,W/L
408,Tucker Lutz  vs. Melsik Baghdasaryan ,L/W
409,Viktoriia Dudakova  vs. Istela Nunes ,W/L
410,Austin Lingo  vs. Melquizael Costa ,L/W
411,Evan Elder  vs. Genaro Valdez ,W/L
412,Tyson Nam  vs. Azat Maksum ,L/W
413,Alexander Munoz  vs. Carl Deaton ,W/L
414,Ashlee Evans-Smith  vs. Ailin Perez ,L/W
415,Alexander Volkanovski  vs. Yair Rodriguez ,W/L
416,Brandon Moreno  vs. Alexandre Pantoja ,L/W
417,Robert Whittaker  vs. Dricus Du Plessis ,L/W
418,Jalin Turner  vs. Dan Hooker ,L/W
419,Bo Nickal  vs. Val Woodburn ,W/L
420,Robbie Lawler  vs. Niko Price ,W/L
421,Tatsuro Taira  vs. Edgar Chairez ,W/L
422,Yazmin Jauregui  vs. Denise Gomes ,L/W
423,Jimmy Crute  vs. Alonzo Menifield ,L/W
424,Vitor Petrino  vs. Marcin Prachnio ,W/L
425,Cameron Saaiman  vs. Terrence Mitchell ,W/L
426,Shannon Ross  vs. Jesus Aguilar ,L/W
427,Kamuela Kirk  vs. Esteban Ribovics ,L/W
428,Sean Strickland  vs. Abus Magomedov ,W/L
429,Damir Ismagulov  vs. Grant Dawson ,L/W
430,Max Griffin  vs. Michael Morales ,L/W
431,Ariane Lipski  vs. Melissa Gatto ,W/L
432,Ismael Bonfim  vs. Benoit Saint Denis ,L/W
433,Brunno Ferreira  vs. Nursulton Ruziboev ,L/W
434,Kevin Lee  vs. Rinat Fakhretdinov ,L/W
435,Joanderson Brito  vs. Westin Wilson ,W/L
436,Yana Santos  vs. Karol Rosa ,L/W
437,Guram Kutateladze  vs. Elves Brener ,L/W
438,Ivana Petrovic  vs. Luana Carolina ,L/W
439,Alexandr Romanov  vs. Blagoy Ivanov ,W/L
440,Josh Emmett  vs. Ilia Topuria ,L/W
441,Amanda Ribas  vs. Maycee Barber ,L/W
442,Austen Lane  vs. Justin Tafa ,NC/NC
443,David Onama  vs. Gabriel Santos ,W/L
444,Brendan Allen  vs. Bruno Silva ,W/L
445,Neil Magny  vs. Phil Rowe ,W/L
446,Randy Brown  vs. Wellington Turman ,W/L
447,Mateusz Rebecki  vs. Loik Radzhabov ,W/L
448,Tabatha Ricci  vs. Gillian Robertson ,W/L
449,Zhalgas Zhumagulov  vs. Joshua Van ,L/W
450,Trevor Peek  vs. Chepe Mariscal ,L/W
451,Jamall Emmers  vs. Jack Jenkins ,L/W
452,Cody Brundage  vs. Sedriques Dumas ,L/W
453,Marvin Vettori  vs. Jared Cannonier ,L/W
454,Arman Tsarukyan  vs. Joaquim Silva ,W/L
455,Armen Petrosyan  vs. Christian Leroy Duncan ,W/L
456,Pat Sabatini  vs. Lucas Almeida ,W/L
457,Manuel Torres  vs. Nikolas Motta ,W/L
458,Nicolas Dalby  vs. Muslim Salikhov ,W/L
459,Jimmy Flick  vs. Alessandro Costa ,L/W
460,Kyung Ho Kang  vs. Cristian Quinonez ,W/L
461,Carlos Hernandez  vs. Denys Bondar ,W/L
462,Tereza Bleda  vs. Gabriella Fernandes ,W/L
463,Dan Argueta  vs. Ronnie Lawrence ,NC/NC
464,Zac Pauga  vs. Modestas Bukauskas ,L/W
465,Amanda Nunes  vs. Irene Aldana ,W/L
466,Charles Oliveira  vs. Beneil Dariush ,W/L
467,Mike Malott  vs. Adam Fugitt ,W/L
468,Dan Ige  vs. Nate Landwehr ,W/L
469,Marc-Andre Barriault  vs. Eryk Anders ,W/L
470,Nassourdine Imavov  vs. Chris Curtis ,NC/NC
471,Miranda Maverick  vs. Jasmine Jasudavicius ,L/W
472,Aiemann Zahabi  vs.  Aoriqileng ,W/L
473,Kyle Nelson  vs. Blake Bilder ,W/L
474,David Dvorak  vs. Steve Erceg ,L/W
475,Diana Belbita  vs. Maria Oliveira ,W/L
476,Kai Kara-France  vs. Amir Albazi ,L/W
477,Alex Caceres  vs. Daniel Pineda ,W/L
478,Jim Miller  vs. Jesse Butler ,W/L
479,Tim Elliott  vs. Victor Altamirano ,W/L
480,Karine Silva  vs. Ketlen Souza ,W/L
481,Abubakar Nurmagomedov  vs. Elizeu Zaleski dos Santos ,L/W
482,Daniel Santos  vs. Johnny Munoz ,W/L
483,Andrei Arlovski  vs. Don'Tale Mayes ,L/W
484,John Castaneda  vs. Muin Gafurov ,W/L
485,Jamie Mullarkey  vs. Muhammad Naimov ,L/W
486,Elise Reed  vs. Jinh Yu Frey ,W/L
487,Da'Mon Blackshear  vs. Luan Lacerda ,W/L
488,Philipe Lins  vs. Maxim Grishin ,W/L
489,Mackenzie Dern  vs. Angela Hill ,W/L
490,Edmen Shahbazyan  vs. Anthony Hernandez ,L/W
491,Emily Ducote  vs. Loopy Godinez ,L/W
492,Andre Fialho  vs. Joaquin Buckley ,L/W
493,Diego Ferreira  vs. Michael Johnson ,W/L
