Fight,OUTCOME
Vitor Petrino  vs. Modestas Bukauskas ,W/L
Angela Hill  vs. Denise Gomes ,W/L
Eduarda Moura  vs. Montserrat Conejo Ruiz ,W/L
Kaue Fernandes  vs. Marc Diakiese ,L/W
Sodiq Yusuff  vs. Edson Barboza ,L/W
Jennifer Maia  vs. Viviane Araujo ,L/W
Jonathan Martinez  vs. Adrian Yanez ,W/L
Andre Petroski  vs. Michel Pereira ,L/W
Christian Rodriguez  vs. Cameron Saaiman ,W/L
Darren Elkins  vs. TJ Brown ,W/L
Tainara Lisboa  vs. Ravena Oliveira ,W/L
Terrance McKinney  vs. Brendon Marotte ,W/L
Irina Alekseeva  vs. Melissa Dixon ,L/W
Chris Gutierrez  vs.  Alatengheili ,W/L
Ashley Yoder  vs. Emily Ducote ,L/W
Grant Dawson  vs. Bobby Green ,L/W
Joe Pyfer  vs. Abdul Razak Alhassan ,W/L
Alex Morono  vs. Joaquin Buckley ,L/W
Drew Dober  vs. Ricky Glenn ,W/L
Alexander Hernandez  vs. Bill Algeo ,L/W
Karolina Kowalkiewicz  vs. Diana Belbita ,W/L
Nate Maness  vs. Mateus Mendonca ,W/L
Vanessa Demopoulos  vs. Kanako Murata ,W/L
 Aoriqileng  vs. Johnny Munoz ,W/L
Montana De La Rosa  vs. JJ Aldrich ,L/W
Rafael Fiziev  vs. Mateusz Gamrot ,L/W
Bryce Mitchell  vs. Dan Ige ,W/L
Marina Rodriguez  vs. Michelle Waterson-Gomez ,W/L
Bryan Battle  vs. AJ Fletcher ,W/L
Ricardo Ramos  vs. Charles Jourdain ,L/W
Dan Argueta  vs. Miles Johns ,L/W
Tim Means  vs. Andre Fialho ,W/L
Jacob Malkoun  vs. Cody Brundage ,L/W
Mohammed Usman  vs. Jake Collier ,W/L
Mizuki vs. Hannah Goldy ,W/L
Tamires Vidal  vs. Montserrat Rendon ,L/W
Alexa Grasso  vs. Valentina Shevchenko ,D/D
Kevin Holland  vs. Jack Della Maddalena ,L/W
Raul Rosas Jr.  vs. Terrence Mitchell ,W/L
Daniel Zellhuber  vs. Christos Giagos ,W/L
Fernando Padilla  vs. Kyle Nelson ,L/W
Loopy Godinez  vs. Elise Reed ,W/L
Roman Kopylov  vs. Josh Fremd ,W/L
Edgar Chairez  vs. Daniel Lacerda ,NC/NC
Tracy Cortez  vs. Jasmine Jasudavicius ,W/L
Alex Reyes  vs. Charlie Campbell ,L/W
Josefine Knutsson  vs. Marnic Mann ,W/L
Israel Adesanya  vs. Sean Strickland ,L/W
Tai Tuivasa  vs. Alexander Volkov ,L/W
Manel Kape  vs. Felipe dos Santos ,W/L
Justin Tafa  vs. Austen Lane ,W/L
Tyson Pedro  vs. Anton Turkalj ,W/L
Carlos Ulberg  vs. Da Woon Jung ,W/L
Jack Jenkins  vs. Chepe Mariscal ,L/W
Jamie Mullarkey  vs. John Makdessi ,W/L
Nasrat Haqparast  vs. Landon Quinones ,W/L
Blood Diamond  vs. Charles Radtke ,L/W
Shane Young  vs. Gabriel Miranda ,L/W
Kevin Jousset  vs. Kiefer Crosbie ,W/L
Ciryl Gane  vs. Serghei Spivac ,W/L
Manon Fiorot  vs. Rose Namajunas ,W/L
Benoit Saint Denis  vs. Thiago Moises ,W/L
Volkan Oezdemir  vs. Bogdan Guskov ,W/L
William Gomis  vs. Yanis Ghemmouri ,W/L
Morgan Charriere  vs. Manolo Zecchini ,W/L
Taylor Lapilus  vs. Caolan Loughran ,W/L
Ange Loosa  vs. Rhys McKee ,W/L
Nora Cornolle  vs. Joselyne Edwards ,W/L
Farid Basharat  vs. Kleydson Rodrigues ,W/L
Zarah Fairn  vs. Jacqueline Cavalcanti ,L/W
Aljamain Sterling  vs. Sean O'Malley ,L/W
Zhang Weili  vs. Amanda Lemos ,W/L
Neil Magny  vs. Ian Garry ,L/W
Da'Mon Blackshear  vs. Mario Bautista ,L/W
Marlon Vera  vs. Pedro Munhoz ,W/L
Chris Weidman  vs. Brad Tavares ,L/W
Gregory Rodrigues  vs. Denis Tiuliulin ,W/L
Kurt Holobaugh  vs. Austin Hubbard ,W/L
Brad Katona  vs. Cody Gibson ,W/L
Andre Petroski  vs. Gerald Meerschaert ,W/L
Andrea Lee  vs. Natalia Silva ,L/W
Karine Silva  vs. Maryna Moroz ,W/L
Vicente Luque  vs. Rafael Dos Anjos ,W/L
Cub Swanson  vs. Hakeem Dawodu ,W/L
Khalil Rountree Jr.  vs. Chris Daukaus ,W/L
Polyana Viana  vs. Iasmin Lucindo ,L/W
AJ Dobson  vs. Tafon Nchukwi ,W/L
Josh Fremd  vs. Jamie Pickett ,W/L
JP Buys  vs. Marcus McGhee ,L/W
Terrance McKinney  vs. Mike Breeden ,W/L
Francis Marshall  vs. Isaac Dulgarian ,L/W
Josh Parisian  vs. Martin Buday ,L/W
Jaqueline Amorim  vs. Montserrat Conejo Ruiz ,W/L
Da'Mon Blackshear  vs. Jose Johnson ,W/L
Juliana Miller  vs. Luana Santos ,L/W
Cory Sandhagen  vs. Rob Font ,W/L
Jessica Andrade  vs. Tatiana Suarez ,L/W
Dustin Jacoby  vs. Kennedy Nzechukwu ,W/L
Diego Lopes  vs. Gavin Tucker ,W/L
Tanner Boser  vs. Aleksa Camur ,W/L
Ignacio Bahamondes  vs. Ludovit Klein ,L/W
Kyler Phillips  vs. Raoni Barcelos ,W/L
Jeremiah Wells  vs. Carlston Harris ,L/W
Billy Quarantillo  vs. Damon Jackson ,W/L
Cody Durden  vs. Jake Hadley ,W/L
Sean Woodson  vs. Dennis Buzukja ,W/L
Ode Osbourne  vs. Assu Almabayev ,L/W
Dustin Poirier  vs. Justin Gaethje ,L/W
Jan Blachowicz  vs. Alex Pereira ,L/W
Derrick Lewis  vs. Marcos Rogerio de Lima ,W/L
Tony Ferguson  vs. Bobby Green ,L/W
Michael Chiesa  vs. Kevin Holland ,L/W
Gabriel Bonfim  vs. Trevin Giles ,W/L
CJ Vergara  vs. Vinicius Salvador ,W/L
Roman Kopylov  vs. Claudio Ribeiro ,W/L
Jake Matthews  vs. Darrius Flowers ,W/L
Matthew Semelsberger  vs. Uros Medic ,L/W
Miranda Maverick  vs. Priscila Cachoeira ,W/L
Tom Aspinall  vs. Marcin Tybura ,W/L
Molly McCann  vs. Julija Stoliarenko ,L/W
Nathaniel Wood  vs. Andre Fili ,W/L
Paul Craig  vs. Andre Muniz ,W/L
Jai Herbert  vs. Fares Ziam ,L/W
Lerone Murphy  vs. Josh Culibao ,W/L
Davey Grant  vs. Daniel Marcos ,L/W
Danny Roberts  vs. Jonny Parsons ,L/W
Marc Diakiese  vs. Joel Alvarez ,L/W
Mick Parkin  vs. Jamal Pogues ,W/L
Makhmud Muradov  vs. Bryan Barberena ,W/L
Ketlen Vieira  vs. Pannie Kianzad ,W/L
Chris Duncan  vs. Yanal Ashmouz ,W/L
Shauna Bannon  vs. Bruna Brasil ,L/W
Jafel Filho  vs. Daniel Barez ,W/L
Holly Holm  vs. Mayra Bueno Silva ,L/W
Jack Della Maddalena  vs. Bassil Hafez ,W/L
Ottman Azaitar  vs. Francisco Prado ,L/W
Albert Duraev  vs. JunYong Park ,L/W
Norma Dumont  vs. Chelsea Chandler ,W/L
Nazim Sadykhov  vs. Terrance McKinney ,W/L
Tucker Lutz  vs. Melsik Baghdasaryan ,L/W
Viktoriia Dudakova  vs. Istela Nunes ,W/L
Austin Lingo  vs. Melquizael Costa ,L/W
Evan Elder  vs. Genaro Valdez ,W/L
Tyson Nam  vs. Azat Maksum ,L/W
Alexander Munoz  vs. Carl Deaton ,W/L
Ashlee Evans-Smith  vs. Ailin Perez ,L/W
Alexander Volkanovski  vs. Yair Rodriguez ,W/L
Brandon Moreno  vs. Alexandre Pantoja ,L/W
Robert Whittaker  vs. Dricus Du Plessis ,L/W
Jalin Turner  vs. Dan Hooker ,L/W
Bo Nickal  vs. Val Woodburn ,W/L
Robbie Lawler  vs. Niko Price ,W/L
Tatsuro Taira  vs. Edgar Chairez ,W/L
Yazmin Jauregui  vs. Denise Gomes ,L/W
Jimmy Crute  vs. Alonzo Menifield ,L/W
Vitor Petrino  vs. Marcin Prachnio ,W/L
Cameron Saaiman  vs. Terrence Mitchell ,W/L
Shannon Ross  vs. Jesus Aguilar ,L/W
Kamuela Kirk  vs. Esteban Ribovics ,L/W
Sean Strickland  vs. Abus Magomedov ,W/L
Damir Ismagulov  vs. Grant Dawson ,L/W
Max Griffin  vs. Michael Morales ,L/W
Ariane Lipski  vs. Melissa Gatto ,W/L
Ismael Bonfim  vs. Benoit Saint Denis ,L/W
Brunno Ferreira  vs. Nursulton Ruziboev ,L/W
Kevin Lee  vs. Rinat Fakhretdinov ,L/W
Joanderson Brito  vs. Westin Wilson ,W/L
Yana Santos  vs. Karol Rosa ,L/W
Guram Kutateladze  vs. Elves Brener ,L/W
Ivana Petrovic  vs. Luana Carolina ,L/W
Alexandr Romanov  vs. Blagoy Ivanov ,W/L
Josh Emmett  vs. Ilia Topuria ,L/W
Amanda Ribas  vs. Maycee Barber ,L/W
Austen Lane  vs. Justin Tafa ,NC/NC
David Onama  vs. Gabriel Santos ,W/L
Brendan Allen  vs. Bruno Silva ,W/L
Neil Magny  vs. Phil Rowe ,W/L
Randy Brown  vs. Wellington Turman ,W/L
Mateusz Rebecki  vs. Loik Radzhabov ,W/L
Tabatha Ricci  vs. Gillian Robertson ,W/L
Zhalgas Zhumagulov  vs. Joshua Van ,L/W
Trevor Peek  vs. Chepe Mariscal ,L/W
Jamall Emmers  vs. Jack Jenkins ,L/W
Cody Brundage  vs. Sedriques Dumas ,L/W
Marvin Vettori  vs. Jared Cannonier ,L/W
Arman Tsarukyan  vs. Joaquim Silva ,W/L
Armen Petrosyan  vs. Christian Leroy Duncan ,W/L
Pat Sabatini  vs. Lucas Almeida ,W/L
Manuel Torres  vs. Nikolas Motta ,W/L
Nicolas Dalby  vs. Muslim Salikhov ,W/L
Jimmy Flick  vs. Alessandro Costa ,L/W
Kyung Ho Kang  vs. Cristian Quinonez ,W/L
Carlos Hernandez  vs. Denys Bondar ,W/L
Tereza Bleda  vs. Gabriella Fernandes ,W/L
Dan Argueta  vs. Ronnie Lawrence ,NC/NC
Zac Pauga  vs. Modestas Bukauskas ,L/W
Amanda Nunes  vs. Irene Aldana ,W/L
Charles Oliveira  vs. Beneil Dariush ,W/L
Mike Malott  vs. Adam Fugitt ,W/L
Dan Ige  vs. Nate Landwehr ,W/L
Marc-Andre Barriault  vs. Eryk Anders ,W/L
Nassourdine Imavov  vs. Chris Curtis ,NC/NC
Miranda Maverick  vs. Jasmine Jasudavicius ,L/W
Aiemann Zahabi  vs.  Aoriqileng ,W/L
Kyle Nelson  vs. Blake Bilder ,W/L
David Dvorak  vs. Steve Erceg ,L/W
Diana Belbita  vs. Maria Oliveira ,W/L
Kai Kara-France  vs. Amir Albazi ,L/W
Alex Caceres  vs. Daniel Pineda ,W/L
Jim Miller  vs. Jesse Butler ,W/L
Tim Elliott  vs. Victor Altamirano ,W/L
Karine Silva  vs. Ketlen Souza ,W/L
Abubakar Nurmagomedov  vs. Elizeu Zaleski dos Santos ,L/W
Daniel Santos  vs. Johnny Munoz ,W/L
Andrei Arlovski  vs. Don'Tale Mayes ,L/W
John Castaneda  vs. Muin Gafurov ,W/L
Jamie Mullarkey  vs. Muhammad Naimov ,L/W
Elise Reed  vs. Jinh Yu Frey ,W/L
Da'Mon Blackshear  vs. Luan Lacerda ,W/L
Philipe Lins  vs. Maxim Grishin ,W/L
Mackenzie Dern  vs. Angela Hill ,W/L
Edmen Shahbazyan  vs. Anthony Hernandez ,L/W
Emily Ducote  vs. Loopy Godinez ,L/W
Andre Fialho  vs. Joaquin Buckley ,L/W
Diego Ferreira  vs. Michael Johnson ,W/L
 Maheshate  vs. Viacheslav Borshchev ,L/W
Karolina Kowalkiewicz  vs. Vanessa Demopoulos ,W/L
Orion Cosce  vs. Gilbert Urbina ,L/W
Ilir Latifi  vs. Rodrigo Nascimento ,L/W
Chase Hooper  vs. Nick Fiore ,W/L
Natalia Silva  vs. Victoria Leonardo ,W/L
Takashi Sato  vs. Themba Gorimbo ,L/W
Jairzinho Rozenstruik  vs. Jailton Almeida ,L/W
Anthony Smith  vs. Johnny Walker ,L/W
Daniel Rodriguez  vs. Ian Garry ,L/W
Carlos Ulberg  vs. Ihor Potieria ,W/L
Tim Means  vs. Alex Morono ,L/W
Matt Brown  vs. Court McGee ,W/L
Karl Williams  vs. Chase Sherman ,W/L
Cody Stamann  vs. Douglas Silva de Andrade ,L/W
Ji Yeon Kim  vs. Mandy Bohm ,L/W
Bryan Battle  vs. Gabe Green ,W/L
Jessica-Rose Clark  vs. Tainara Lisboa ,L/W
Aljamain Sterling  vs. Henry Cejudo ,W/L
Belal Muhammad  vs. Gilbert Burns ,W/L
Jessica Andrade  vs. Yan Xiaonan ,L/W
Movsar Evloev  vs. Diego Lopes ,W/L
Kron Gracie  vs. Charles Jourdain ,L/W
Drew Dober  vs. Matt Frevola ,L/W
Kennedy Nzechukwu  vs. Devin Clark ,W/L
Khaos Williams  vs. Rolando Bedoya ,W/L
Marina Rodriguez  vs. Virna Jandiroba ,L/W
Braxton Smith  vs. Parker Porter ,L/W
Phil Hawes  vs. Ikram Aliskerov ,L/W
Joseph Holmes  vs. Claudio Ribeiro ,L/W
Song Yadong  vs. Ricky Simon ,W/L
Caio Borralho  vs. Michal Oleksiejczuk ,W/L
Rodolfo Vieira  vs. Cody Brundage ,W/L
Julian Erosa  vs. Fernando Padilla ,L/W
Marcos Rogerio de Lima  vs. Waldo Cortes-Acosta ,W/L
Josh Quinlan  vs. Trey Waters ,L/W
Martin Buday  vs. Jake Collier ,W/L
